country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,vehicleType,powertrain,evSales,evSalesShare,evStock,evStockShare,evElectricityDemand,evChargingPoints,chargingPointsPerEv,population,GDP
Austria,AUT,Europe,EU,2021,2020-2023,Pandemic,Cars,PHEV,15000.0,0.0,29000.0,0.0,0.0,0.0,0.09900523313375136,8955797.0,480466363176.806
Austria,AUT,Europe,EU,2021,2020-2023,Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,1600.0,0.09900523313375136,8955797.0,480466363176.806
Austria,AUT,Europe,EU,2021,2020-2023,Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,8900.0,0.09900523313375136,8955797.0,480466363176.806
Austria,AUT,Europe,EU,2022,2020-2023,Post-Pandemic,Cars,BEV,34000.0,0.0,110000.0,0.0,0.0,0.0,0.10258973313516855,9041851.0,473221298968.216
Austria,AUT,Europe,EU,2022,2020-2023,Post-Pandemic,Cars,EV,0.0,22.0,0.0,3.0,0.0,0.0,0.10258973313516855,9041851.0,473221298968.216
Austria,AUT,Europe,EU,2022,2020-2023,Post-Pandemic,Cars,FCEV,14.0,0.0,62.0,0.0,0.0,0.0,0.10258973313516855,9041851.0,473221298968.216
Austria,AUT,Europe,EU,2022,2020-2023,Post-Pandemic,Cars,PHEV,13000.0,0.0,42000.0,0.0,0.0,0.0,0.10258973313516855,9041851.0,473221298968.216
Austria,AUT,Europe,EU,2022,2020-2023,Post-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,2600.0,0.10258973313516855,9041851.0,473221298968.216
Austria,AUT,Europe,EU,2022,2020-2023,Post-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,13000.0,0.10258973313516855,9041851.0,473221298968.216
Austria,AUT,Europe,EU,2023,2020-2023,Post-Pandemic,Cars,BEV,48000.0,0.0,160000.0,0.0,0.0,0.0,0.07915364400761685,9131761.0,516670509628.876
Austria,AUT,Europe,EU,2023,2020-2023,Post-Pandemic,Cars,EV,0.0,26.0,0.0,4.40000009536743,0.0,0.0,0.07915364400761685,9131761.0,516670509628.876
