country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,vehicleType,powertrain,evSales,evSalesShare,evStock,evStockShare,evElectricityDemand,evChargingPoints
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Buses,FCEV,0.0,0.0,15.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Buses,PHEV,0.0,0.0,35.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Cars,BEV,53000.0,0.0,180000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Cars,EV,0.0,30.0,0.0,5.80000019073486,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Cars,FCEV,27.0,0.0,240.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Cars,PHEV,23000.0,0.0,96000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,2800.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,13000.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Trucks,BEV,380.0,0.0,680.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Trucks,EV,0.0,8.19999980926514,0.0,1.20000004768372,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Trucks,FCEV,0.0,0.0,80.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Vans,BEV,3900.0,0.0,10000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Vans,EV,0.0,13.0,0.0,2.29999995231628,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Vans,PHEV,0.0,0.0,190.0,0.0,0.0,0.0
Thailand,THA,Asia,AS,2017,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,8.0
Thailand,THA,Asia,AS,2017,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,88.0
Thailand,THA,Asia,AS,2018,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,8.0
Thailand,THA,Asia,AS,2018,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,88.0
Thailand,THA,Asia,AS,2019,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,69.0
Thailand,THA,Asia,AS,2019,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,750.0
Thailand,THA,Asia,AS,2020,2020-2023,Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,710.0
Thailand,THA,Asia,AS,2020,2020-2023,Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,1200.0
Thailand,THA,Asia,AS,2021,2020-2023,Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,770.0
Thailand,THA,Asia,AS,2021,2020-2023,Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,1500.0
Thailand,THA,Asia,AS,2022,2020-2023,Post-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,770.0
Thailand,THA,Asia,AS,2022,2020-2023,Post-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,1500.0
Thailand,THA,Asia,AS,2023,2020-2023,Post-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,770.0
Thailand,THA,Asia,AS,2023,2020-2023,Post-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,1500.0
Turkey,TUR,Europe,EU,2012,2010-2014,Pre-Pandemia,Cars,BEV,92.0,0.0,0.0,0.0,0.0,0.0
